Date,Amount,Category
2020-01-01,455.33,Healthcare
2020-01-01,254.28,Utilities
2020-01-01,432.74,Entertainment
2020-01-01,164.26,Education
2020-01-01,576.19,Freelance
2020-01-02,1025.82,Rent
2020-01-02,10.67,Healthcare
2020-01-02,1027.51,Rent
2020-01-02,396.91,Utilities
2020-01-02,359.56,Transport
2020-01-02,438.72,Education
2020-01-02,61.17,Transport
2020-01-03,198.86,Groceries
2020-01-03,419.93,Shopping
2020-01-03,430.91,Healthcare
2020-01-03,1065.01,Rent
2020-01-03,2044.62,Salary
2020-01-03,432.09,Education
2020-01-03,507.16,Freelance
2020-01-04,484.95,Freelance
2020-01-04,2002.96,Salary
2020-01-04,376.71,Shopping
2020-01-04,402.25,Shopping
2020-01-04,1961.37,Salary
2020-01-04,413.83,Healthcare
2020-01-04,628.35,Freelance
2020-01-04,2083.53,Salary
2020-01-05,100.03,Healthcare
2020-01-05,163.05,Shopping
2020-01-05,397.75,Education
2020-01-06,257.26,Shopping
2020-01-06,465.74,Entertainment
2020-01-06,192.11,Transport
2020-01-07,505.41,Freelance
2020-01-07,223.18,Shopping
2020-01-07,668.15,Freelance
2020-01-07,434.18,Investment Return
2020-01-08,453.29,Education
2020-01-08,1992.21,Salary
2020-01-08,239.77,Shopping
2020-01-08,277.79,Utilities
2020-01-09,344.11,Healthcare
2020-01-09,111.61,Healthcare
2020-01-09,186.7,Groceries
2020-01-09,1842.79,Salary
2020-01-10,45.18,Utilities
2020-01-10,499.89,Utilities
2020-01-10,320.56,Healthcare
2020-01-11,996.57,Rent
2020-01-11,96.2,Education
2020-01-11,163.57,Healthcare
2020-01-11,356.01,Entertainment
2020-01-11,512.94,Investment Return
2020-01-11,882.28,Rent
2020-01-12,189.4,Groceries
2020-01-12,185.97,Groceries
2020-01-12,2014.3,Salary
2020-01-12,355.08,Healthcare
2020-01-12,200.77,Groceries
2020-01-12,186.98,Groceries
2020-01-12,2031.68,Salary
2020-01-12,208.71,Utilities
2020-01-12,148.15,Groceries
2020-01-13,110.31,Shopping
2020-01-13,114.65,Education
2020-01-13,217.62,Groceries
2020-01-13,1007.88,Rent
2020-01-13,400.7,Transport
2020-01-13,998.75,Rent
2020-01-13,187.3,Healthcare
2020-01-13,602.28,Investment Return
2020-01-14,428.71,Freelance
2020-01-14,1934.24,Salary
2020-01-14,305.02,Shopping
2020-01-14,460.76,Utilities
2020-01-14,2074.26,Salary
2020-01-14,520.8,Freelance
2020-01-14,963.8,Rent
2020-01-14,468.38,Investment Return
2020-01-14,293.79,Education
2020-01-15,78.79,Healthcare
2020-01-15,378.92,Entertainment
2020-01-15,426.23,Entertainment
2020-01-16,142.45,Healthcare
2020-01-16,442.33,Healthcare
2020-01-16,184.75,Utilities
2020-01-16,465.08,Shopping
2020-01-16,1004.6,Rent
2020-01-17,204.47,Groceries
2020-01-17,187.13,Groceries
2020-01-17,1014.92,Rent
2020-01-17,233.12,Transport
2020-01-18,542.03,Freelance
2020-01-18,976.4,Rent
2020-01-18,75.84,Healthcare
2020-01-18,602.7,Investment Return
2020-01-18,469.81,Healthcare
2020-01-18,944.42,Rent
2020-01-18,119.36,Utilities
2020-01-18,512.61,Investment Return
2020-01-19,242.49,Transport
2020-01-19,394.57,Entertainment
2020-01-19,423.59,Utilities
2020-01-19,103.71,Education
2020-01-19,183.07,Education
2020-01-19,2103.39,Salary
2020-01-20,1037.53,Rent
2020-01-20,505.51,Freelance
2020-01-20,208.82,Groceries
2020-01-21,432.48,Healthcare
2020-01-21,607.79,Investment Return
2020-01-21,141.23,Education
2020-01-21,962.78,Rent
2020-01-22,153.93,Utilities
2020-01-22,155.49,Education
2020-01-22,1885.52,Salary
2020-01-22,221.67,Groceries
2020-01-22,145.82,Utilities
2020-01-23,425.62,Entertainment
2020-01-23,372.33,Education
2020-01-23,26.02,Healthcare
2020-01-23,1036.23,Rent
2020-01-23,330.0,Healthcare
2020-01-23,509.09,Investment Return
2020-01-24,428.06,Freelance
2020-01-24,250.46,Shopping
2020-01-24,1930.91,Salary
2020-01-24,90.86,Shopping
2020-01-24,489.64,Utilities
2020-01-24,369.77,Healthcare
2020-01-24,1064.95,Rent
2020-01-24,958.28,Rent
2020-01-25,163.11,Groceries
2020-01-25,484.06,Education
2020-01-25,78.14,Transport
2020-01-25,970.61,Rent
2020-01-26,509.35,Investment Return
2020-01-26,910.92,Rent
2020-01-26,172.62,Shopping
2020-01-26,216.21,Healthcare
2020-01-26,240.1,Transport
2020-01-26,577.31,Freelance
2020-01-26,67.98,Entertainment
2020-01-27,164.65,Groceries
2020-01-27,177.09,Groceries
2020-01-27,320.26,Utilities
2020-01-28,144.44,Education
2020-01-28,152.05,Shopping
2020-01-28,214.56,Groceries
2020-01-29,1934.04,Salary
2020-01-29,175.41,Utilities
2020-01-29,17.35,Transport
2020-01-29,964.19,Rent
2020-01-29,57.05,Healthcare
2020-01-29,2134.09,Salary
2020-01-30,534.26,Freelance
2020-01-30,998.3,Rent
2020-01-30,35.38,Healthcare
2020-01-30,263.09,Healthcare
2020-01-31,154.11,Transport
2020-01-31,471.91,Utilities
2020-01-31,510.87,Investment Return
2020-01-31,218.6,Shopping
2020-02-01,2178.43,Salary
2020-02-01,1045.11,Rent
2020-02-01,124.68,Education
2020-02-01,206.87,Groceries
2020-02-01,17.23,Transport
2020-02-01,276.34,Healthcare
2020-02-01,2002.66,Salary
2020-02-02,220.36,Utilities
2020-02-02,486.97,Utilities
2020-02-02,322.52,Transport
2020-02-03,528.6,Freelance
2020-02-04,104.01,Education
2020-02-04,464.11,Transport
2020-02-04,1018.19,Rent
2020-02-04,282.32,Education
2020-02-04,291.84,Healthcare
2020-02-05,363.37,Shopping
2020-02-05,306.88,Shopping
2020-02-05,475.93,Freelance
2020-02-05,1715.35,Salary
2020-02-05,79.78,Entertainment
2020-02-05,224.4,Groceries
2020-02-06,458.53,Entertainment
2020-02-06,147.16,Utilities
2020-02-06,1016.05,Rent
2020-02-06,387.9,Investment Return
2020-02-06,273.24,Healthcare
2020-02-06,408.57,Transport
2020-02-06,533.24,Freelance
2020-02-07,607.39,Investment Return
2020-02-07,427.99,Healthcare
2020-02-07,325.98,Shopping
2020-02-07,259.12,Healthcare
2020-02-07,474.98,Shopping
2020-02-07,185.04,Groceries
2020-02-08,339.83,Transport
2020-02-08,340.92,Entertainment
2020-02-08,356.7,Shopping
2020-02-08,302.58,Shopping
2020-02-08,548.68,Investment Return
2020-02-08,468.0,Education
2020-02-08,610.08,Investment Return
2020-02-08,1965.7,Salary
2020-02-08,1993.65,Salary
2020-02-08,366.33,Utilities
2020-02-09,488.65,Freelance
2020-02-09,548.17,Freelance
2020-02-09,225.26,Shopping
2020-02-09,253.78,Education
2020-02-10,295.14,Investment Return
2020-02-10,214.09,Healthcare
2020-02-10,509.01,Investment Return
2020-02-10,273.5,Entertainment
2020-02-10,342.53,Entertainment
2020-02-11,305.21,Freelance
2020-02-11,449.98,Shopping
2020-02-11,242.05,Groceries
2020-02-11,430.9,Healthcare
2020-02-11,351.68,Healthcare
2020-02-11,1143.39,Rent
2020-02-11,1923.35,Salary
2020-02-11,257.07,Healthcare
2020-02-11,204.27,Shopping
2020-02-11,240.77,Education
2020-02-11,290.45,Transport
2020-02-11,199.85,Groceries
2020-02-12,288.25,Healthcare
2020-02-12,212.25,Groceries
2020-02-12,297.07,Healthcare
2020-02-12,1017.42,Rent
2020-02-12,465.28,Healthcare
2020-02-12,454.48,Utilities
2020-02-12,1029.2,Rent
2020-02-12,372.76,Transport
2020-02-13,183.35,Utilities
2020-02-13,465.84,Education
2020-02-13,341.56,Shopping
2020-02-13,91.59,Shopping
2020-02-13,182.19,Healthcare
2020-02-13,196.43,Utilities
2020-02-13,231.6,Education
2020-02-14,371.67,Shopping
2020-02-14,270.72,Healthcare
2020-02-14,85.9,Entertainment
2020-02-14,109.9,Entertainment
2020-02-14,456.6,Healthcare
2020-02-15,1041.79,Rent
2020-02-15,135.2,Entertainment
2020-02-16,270.7,Healthcare
2020-02-16,154.88,Education
2020-02-16,624.85,Investment Return
2020-02-16,546.11,Freelance
2020-02-16,456.38,Transport
2020-02-16,592.17,Investment Return
2020-02-16,1041.51,Rent
2020-02-16,34.97,Shopping
2020-02-16,1057.45,Rent
2020-02-17,476.18,Shopping
2020-02-17,1916.9,Salary
2020-02-17,409.97,Healthcare
2020-02-17,377.29,Entertainment
2020-02-17,482.3,Healthcare
2020-02-18,469.67,Entertainment
2020-02-18,300.24,Transport
2020-02-18,321.35,Utilities
2020-02-19,566.49,Investment Return
2020-02-19,191.24,Healthcare
2020-02-19,184.27,Shopping
2020-02-19,411.55,Freelance
2020-02-19,1884.56,Salary
2020-02-19,446.49,Entertainment
2020-02-19,35.91,Utilities
2020-02-19,333.59,Utilities
2020-02-19,214.83,Groceries
2020-02-20,141.52,Entertainment
2020-02-20,570.86,Freelance
2020-02-20,134.68,Education
2020-02-20,415.84,Freelance
2020-02-20,268.25,Healthcare
2020-02-21,983.41,Rent
2020-02-21,468.94,Transport
2020-02-21,598.99,Freelance
2020-02-21,579.59,Freelance
2020-02-21,522.02,Freelance
2020-02-21,197.52,Groceries
2020-02-21,987.09,Rent
2020-02-21,1999.94,Salary
2020-02-22,65.71,Utilities
2020-02-22,379.73,Entertainment
2020-02-22,149.83,Education
2020-02-22,210.74,Groceries
2020-02-22,991.41,Rent
2020-02-22,2058.82,Salary
2020-02-22,1905.34,Salary
2020-02-22,436.85,Entertainment
2020-02-22,291.32,Shopping
2020-02-23,14.91,Shopping
2020-02-23,322.96,Education
2020-02-23,147.74,Groceries
2020-02-23,317.06,Transport
2020-02-23,317.23,Entertainment
2020-02-23,1034.32,Rent
2020-02-24,434.78,Entertainment
2020-02-24,270.21,Shopping
2020-02-24,221.76,Groceries
2020-02-24,331.34,Healthcare
2020-02-24,222.79,Utilities
2020-02-25,478.12,Education
2020-02-25,458.67,Healthcare
2020-02-25,367.22,Education
2020-02-25,464.89,Entertainment
2020-02-25,353.44,Transport
2020-02-26,148.91,Utilities
2020-02-26,77.33,Transport
2020-02-26,355.34,Healthcare
2020-02-26,2084.27,Salary
2020-02-26,342.21,Entertainment
2020-02-26,536.55,Investment Return
2020-02-26,82.89,Shopping
2020-02-27,628.23,Freelance
2020-02-27,546.95,Freelance
2020-02-27,120.7,Education
2020-02-27,471.83,Entertainment
2020-02-28,38.85,Entertainment
2020-02-28,2023.88,Salary
2020-02-28,230.82,Groceries
2020-02-28,1072.44,Rent
2020-02-28,365.43,Shopping
2020-02-28,286.59,Education
2020-02-28,947.82,Rent
2020-02-28,420.35,Freelance
2020-02-28,486.5,Education
2020-02-28,203.75,Groceries
2020-02-28,171.97,Groceries
2020-02-29,136.94,Entertainment
2020-02-29,39.37,Utilities
2020-02-29,325.71,Entertainment
2020-02-29,347.82,Utilities
2020-02-29,305.16,Utilities
2020-02-29,141.57,Shopping
2020-03-01,103.9,Transport
2020-03-01,134.42,Healthcare
2020-03-01,177.02,Education
2020-03-01,313.17,Entertainment
2020-03-01,543.93,Freelance
2020-03-01,490.04,Investment Return
2020-03-01,166.56,Transport
2020-03-02,412.92,Investment Return
2020-03-02,995.73,Rent
2020-03-03,233.4,Entertainment
2020-03-03,106.33,Education
2020-03-03,452.71,Education
2020-03-03,17.15,Shopping
2020-03-03,252.08,Entertainment
2020-03-03,299.74,Healthcare
2020-03-03,317.69,Shopping
2020-03-03,430.82,Healthcare
2020-03-03,401.73,Freelance
2020-03-04,39.15,Education
2020-03-04,260.35,Education
2020-03-04,185.61,Transport
2020-03-04,198.09,Shopping
2020-03-04,367.82,Transport
2020-03-05,161.51,Groceries
2020-03-05,304.75,Education
2020-03-05,996.12,Rent
2020-03-05,451.94,Education
2020-03-05,864.04,Rent
2020-03-05,234.46,Education
2020-03-05,169.48,Groceries
2020-03-06,2133.06,Salary
2020-03-06,483.17,Utilities
2020-03-07,125.76,Education
2020-03-07,489.37,Shopping
2020-03-07,1015.98,Rent
2020-03-07,398.01,Freelance
2020-03-07,57.65,Utilities
2020-03-08,277.23,Transport
2020-03-08,228.53,Transport
2020-03-08,90.98,Utilities
2020-03-08,965.66,Rent
2020-03-08,2112.32,Salary
2020-03-08,40.76,Utilities
2020-03-08,538.81,Freelance
2020-03-08,484.65,Investment Return
2020-03-09,966.56,Rent
2020-03-09,215.84,Groceries
2020-03-09,375.27,Healthcare
2020-03-09,13.02,Shopping
2020-03-09,1918.35,Salary
2020-03-09,313.29,Groceries
2020-03-09,278.14,Utilities
2020-03-09,577.4,Freelance
2020-03-09,47.72,Transport
2020-03-09,1045.35,Rent
2020-03-10,474.72,Shopping
2020-03-10,979.96,Rent
2020-03-10,491.49,Entertainment
2020-03-10,1900.65,Salary
2020-03-10,938.14,Rent
2020-03-10,45.53,Transport
2020-03-10,350.81,Utilities
2020-03-10,36.01,Transport
2020-03-10,167.76,Groceries
2020-03-11,464.91,Freelance
2020-03-11,37.93,Shopping
2020-03-11,175.22,Groceries
2020-03-11,405.79,Transport
2020-03-12,1056.5,Rent
2020-03-12,108.65,Education
2020-03-12,475.34,Transport
2020-03-12,339.41,Education
2020-03-12,126.14,Entertainment
2020-03-13,241.03,Groceries
2020-03-13,525.38,Investment Return
2020-03-14,2084.72,Salary
2020-03-14,955.18,Rent
2020-03-14,363.36,Transport
2020-03-14,495.7,Education
2020-03-14,147.87,Transport
2020-03-15,407.93,Education
2020-03-15,130.42,Transport
2020-03-15,328.47,Utilities
2020-03-15,196.61,Entertainment
2020-03-15,272.88,Education
2020-03-15,513.07,Freelance
2020-03-15,427.58,Freelance
2020-03-15,245.07,Groceries
2020-03-15,29.54,Transport
2020-03-15,28.31,Transport
2020-03-15,283.69,Utilities
2020-03-15,523.85,Freelance
2020-03-15,28.71,Transport
2020-03-16,164.96,Entertainment
2020-03-16,416.82,Investment Return
2020-03-16,109.61,Transport
2020-03-16,449.4,Transport
2020-03-16,219.96,Groceries
2020-03-16,2074.86,Salary
2020-03-16,304.53,Transport
2020-03-16,68.97,Entertainment
2020-03-16,443.15,Investment Return
2020-03-16,152.8,Education
2020-03-16,596.94,Investment Return
2020-03-16,49.4,Education
2020-03-16,78.9,Healthcare
2020-03-17,47.23,Utilities
2020-03-17,608.25,Investment Return
2020-03-18,482.54,Healthcare
2020-03-18,476.23,Entertainment
2020-03-18,534.98,Investment Return
2020-03-18,52.67,Healthcare
2020-03-18,653.74,Investment Return
2020-03-18,586.14,Freelance
2020-03-19,458.13,Shopping
2020-03-19,155.63,Healthcare
2020-03-19,167.17,Entertainment
2020-03-19,303.49,Education
2020-03-20,50.58,Utilities
2020-03-20,166.87,Groceries
2020-03-20,587.75,Freelance
2020-03-20,176.24,Groceries
2020-03-20,630.44,Freelance
2020-03-20,674.22,Freelance
2020-03-21,176.0,Entertainment
2020-03-21,343.69,Freelance
2020-03-21,66.57,Transport
2020-03-21,335.23,Shopping
2020-03-22,387.16,Healthcare
2020-03-22,140.07,Utilities
2020-03-23,120.41,Healthcare
2020-03-23,344.04,Education
2020-03-23,2019.83,Salary
2020-03-23,486.68,Investment Return
2020-03-23,1000.85,Rent
2020-03-23,153.48,Groceries
2020-03-24,396.03,Transport
2020-03-24,424.14,Freelance
2020-03-24,1891.96,Salary
2020-03-24,2104.16,Salary
2020-03-24,461.6,Investment Return
2020-03-24,1942.64,Salary
2020-03-24,962.11,Rent
2020-03-24,501.25,Freelance
2020-03-24,517.93,Freelance
2020-03-24,1053.57,Rent
2020-03-24,37.8,Shopping
2020-03-24,2110.65,Salary
2020-03-25,294.34,Shopping
2020-03-25,170.79,Utilities
2020-03-25,384.26,Education
2020-03-25,286.37,Entertainment
2020-03-25,18.46,Shopping
2020-03-25,1070.92,Rent
2020-03-25,2038.27,Salary
2020-03-25,272.58,Education
2020-03-25,473.91,Healthcare
2020-03-26,422.2,Healthcare
2020-03-26,1008.76,Rent
2020-03-26,2002.06,Salary
2020-03-26,321.72,Education
2020-03-26,556.62,Investment Return
2020-03-27,346.4,Utilities
2020-03-27,400.3,Healthcare
2020-03-27,330.77,Entertainment
2020-03-27,307.6,Utilities
2020-03-27,207.29,Entertainment
2020-03-27,144.39,Entertainment
2020-03-28,193.98,Groceries
2020-03-28,567.66,Investment Return
2020-03-28,73.27,Healthcare
2020-03-28,192.69,Groceries
2020-03-28,480.85,Transport
2020-03-28,284.39,Education
2020-03-29,2024.53,Salary
2020-03-29,474.24,Utilities
2020-03-29,1956.05,Salary
2020-03-29,2005.9,Salary
2020-03-29,1951.22,Salary
2020-03-29,534.86,Freelance
2020-03-29,494.0,Utilities
2020-03-29,2062.48,Salary
2020-03-29,333.12,Entertainment
2020-03-30,200.76,Groceries
2020-03-30,393.08,Utilities
2020-03-30,441.15,Utilities
2020-03-30,368.12,Healthcare
2020-03-30,318.89,Entertainment
2020-03-30,486.75,Freelance
2020-03-30,89.11,Transport
2020-03-30,449.27,Healthcare
2020-03-30,431.53,Investment Return
2020-03-30,218.24,Groceries
2020-03-30,362.19,Transport
2020-03-30,235.81,Groceries
2020-03-30,299.83,Utilities
2020-03-31,69.85,Education
2020-03-31,218.06,Groceries
2020-03-31,1970.95,Salary
2020-03-31,189.48,Shopping
2020-03-31,406.44,Education
2020-03-31,434.22,Healthcare
2020-03-31,581.28,Freelance
2020-04-01,457.55,Shopping
2020-04-01,177.33,Entertainment
2020-04-01,379.1,Entertainment
2020-04-01,159.24,Education
2020-04-01,388.52,Shopping
2020-04-01,1029.66,Rent
2020-04-02,218.08,Transport
2020-04-02,399.04,Freelance
2020-04-02,432.89,Education
2020-04-03,53.27,Entertainment
2020-04-03,248.59,Groceries
2020-04-03,90.16,Healthcare
2020-04-04,974.52,Rent
2020-04-04,1034.87,Rent
2020-04-04,40.64,Shopping
2020-04-04,130.01,Shopping
2020-04-04,322.49,Shopping
2020-04-04,476.33,Freelance
2020-04-04,1106.91,Rent
2020-04-04,354.09,Transport
2020-04-04,328.24,Utilities
2020-04-04,2022.52,Salary
2020-04-05,29.2,Entertainment
2020-04-05,234.43,Groceries
2020-04-05,252.29,Groceries
2020-04-05,1981.92,Salary
2020-04-05,575.9,Freelance
2020-04-05,149.86,Education
2020-04-05,574.66,Freelance
2020-04-05,2202.97,Salary
2020-04-05,953.69,Rent
2020-04-06,17.52,Education
2020-04-06,2238.04,Salary
2020-04-06,418.97,Utilities
2020-04-06,64.76,Transport
2020-04-07,26.0,Entertainment
2020-04-07,227.2,Education
2020-04-07,348.64,Healthcare
2020-04-07,62.43,Education
2020-04-08,384.74,Investment Return
2020-04-08,160.7,Entertainment
2020-04-08,477.29,Education
2020-04-08,400.36,Freelance
2020-04-08,228.38,Groceries
2020-04-08,564.66,Freelance
2020-04-09,179.94,Transport
2020-04-09,107.46,Education
2020-04-09,313.35,Transport
2020-04-10,243.37,Education
2020-04-10,73.38,Shopping
2020-04-10,21.43,Education
2020-04-10,329.73,Freelance
2020-04-10,369.03,Utilities
2020-04-11,1964.5,Salary
2020-04-11,77.4,Shopping
2020-04-12,430.63,Shopping
2020-04-12,44.39,Shopping
2020-04-12,199.01,Groceries
2020-04-12,201.08,Groceries
2020-04-12,500.67,Investment Return
2020-04-12,2060.34,Salary
2020-04-13,1954.74,Salary
2020-04-13,680.34,Investment Return
2020-04-13,101.12,Shopping
2020-04-13,139.4,Groceries
2020-04-13,84.72,Healthcare
2020-04-13,496.09,Freelance
2020-04-14,538.22,Investment Return
2020-04-14,394.8,Freelance
2020-04-14,67.41,Education
2020-04-14,296.54,Utilities
2020-04-14,337.79,Entertainment
2020-04-14,460.33,Investment Return
2020-04-14,371.61,Healthcare
2020-04-14,197.69,Groceries
2020-04-14,513.98,Investment Return
2020-04-14,2089.39,Salary
2020-04-15,334.52,Entertainment
2020-04-15,263.69,Education
2020-04-15,407.11,Healthcare
